# GENERATED by .agents/generate.py - do not edit by hand.
#
# The LinkML authoring vocabulary: every metamodel slot you may write in a schema,
# 236 of them. Query it, do not read it. Columns are tab-separated, so anchor
# on the column - a bare `grep basic` also matches every description with that word.
#
#   grep -P '^inlined\t' 900-metaslots.tsv                              # one slot
#   awk -F'\t' '$5 ~ /min|basic/ {print $1}' 900-metaslots.tsv          # everyday slots
#   awk -F'\t' '$2 ~ /class_definition/ {print $1}' 900-metaslots.tsv  # what a class carries
#
# tier: min/basic = commonly used, spec = in the formal specification,
# oo/rel = object-oriented / relational profiles only.
#
# used_on lists only classes declaring a slot directly. Classes also inherit every
# slot of their is_a/mixins ancestors, so class_definition does accept name and
# description even though those are declared on element.
#
# Presence here means the *metamodel* defines it, NOT that linkml-scala implements
# it. Check 200-limitations.md before relying on anything unusual.
#
# slot	used_on	range	cardinality	tier	description
tree_root	class_definition	boolean	single	spec,basic	Indicates that this is the Container class which forms the root of the serialized documen…
type_mappings	slot_definition	type_mapping	multi	-	A collection of type mappings that specify how a slot's range should be mapped or seriali…
type_uri	type_definition	uriorcurie	single	spec,basic	The uri that defines the possible values for the type definition
typeof	type_definition	type_definition	single	spec,basic	A parent type from which type properties are inherited
types	schema_definition	type_definition	multi	basic,oo	An index to the collection of all type definitions in the schema
ucum_code	UnitOfMeasure	string	single	-	associates a QUDT unit with its UCUM code (case-sensitive).
union_of	type_definition,slot_definition,class_definition	element	multi	spec	indicates that the domain element consists exactly of the members of the element in the r…
unique_key_name	unique_key	string	single,required	spec,basic,rel	name of the unique key
unique_key_slots	unique_key	slot_definition	multi,required	spec,basic,rel	list of slot names that form a key. The tuple formed from the values of all these slots s…
unique_keys	class_definition	unique_key	multi	spec,basic,rel	A collection of named unique keys for this class. Such unique keys may be spread over sev…
unit	type_expression,slot_expression,permissible_value	UnitOfMeasure	single	-	an encoding of a unit
usage_slot_name	slot_definition	string	single	-	The name of the slot referenced in the slot_usage
value	example	string	single	basic	example value
value_description	example	string	single	basic	description of what the value is doing
value_object	example	Anything	single	basic	direct object representation of the example
value_presence	slot_expression	presence_enum	single	-	if PRESENT then a value must be present (for lists there must be at least one value). If…
value_specification_constant	-	string	single	-	Grouping for metamodel slots that constrain the a slot value to equal a specified constant
values_from	definition	uriorcurie	multi	-	The identifier of a "value set" -- a set of identifiers that form the possible values for…
version	schema_definition	string	single	basic	particular version of schema
